Technology,Number_of_Jobs
""" ; .net framework",1
""" ; .net"" ;",1
""" ; dot net"" ;",1
""" ; react"" ;",1
""" ; reactjs",1
""" ; windows administration"" ;",1
""" ; windows administrator"" ;",1
""" ; windows server administration"" ;",1
""" ; windows server engineer"" ;",1
""" vfd panel",1
& centos,1
' ; plsql developer' ;,1
*big data,1
*itil,1
. net,7
.net,1060
.net 2.0,1
.net 3.5,1
.net architect,7
.net architecture,1
.net azure,1
.net core,3
.net developer,36
.net developers,1
.net development,2
.net engineer,1
.net framework,59
.net programmer,2
.net technical architect,1
.net trainer,1
.net4,1
.netframework,1
/,59
1099,2
10g,17
11g,13
11i,5
11kv,1
12 lpa,1
16 bit,2
220kv,2
24x7,2
2d,44
2d animation,10
2d animator,3
2d artist,2
2d drafting,4
2d graphics,1
2g,8
2g / 3g,1
32 bit microcontrollers,4
33kv,1
3b2,1
3d,153
3d animation,4
3d animator,7
3d artist,2
3d cad,1
3d character animation,1
3d compositing,1
3d designer,4
3d graphics,1
3d max,4
3d maya,1
3d modeler,1
3d modeling,24
3d modelling,1
3d rendering,3
3d studio max,5
3dnand cell designs,1
3ds max,25
3dsmax,19
3g,22
3gpp,8
3gpp2,1
3par,1
3pl,8
3rd party collection,2
3rd party collections,1
4g,11
4g ran,1
5 - s,1
5+ exp,1
5s system,3
6 sigma processes,1
66kv,1
7qc,1
8 bit,1
802.11,2
802.1q,2
"; react.js"" ;",1
"; windows server administrator"" ;",1
a / b testing,1
aa,210
aaa / dra,1
aac,2
aapc,2
ab,1758
ab initio,13
abap,131
abap - hr,2
abap consultant,10
abap crm,2
abap dictionary,2
abap objects,11
abap oo,1
abap webdynmpro,1
abap webdynpro,2
abap workflow,1
abaqus,4
abb,21
abi - nitio,1
ability to face strangers,1
abinitio,3
abm,7
about,2
abstracting,2
ac,7666
ac supervisor,1
acad,52
academic,45
academic coordinator,2
academic counsellor,4
academic counselor,2
academic director,1
academic head,2
academic instructor,2
academic qualification,1
academic research,5
academic writing,2
academics,14
acbs,1
accent,39
accent based process,1
accent trainer,3
accent training,5
accenture,23
acceptance testing,46
access,390
access control,271
access control system,2
access controls,250
access healthcare,1
access management,33
accessibility,10
accessories,28
accessory designer,1
accident,2
accommodation,6
accounatnt,1
account,1441
account & finance,1
account assistant,16
account development,7
account director,2
account executive,7
account finalization,1
account management,303
account manager,15
account manager business development,1
account mining,3
account officer,3
account officer - insurance,1
account opening,5
account payable,1
account planning,8
account receivable,4
account receivable caller,1
account relationship management,1
account representative,1
account services,2
accountancy,18
accountant,160
accountant executive,1
accountant trainee,1
accounting,816
accounting & finance,1
accounting entries,11
accounting functions,4
accounting management,1
accounting operations,9
accounting packages,1
accounting policies,1
accounting software,20
accounting standards,11
accounting system,4
accounts,476
accounts & finance executive,1
accounts - executive,1
accounts analysis,1
accounts assistant,17
accounts closing,4
accounts executive,105
accounts finalisation,21
accounts finalization,1
accounts handling,12
accounts head,3
accounts manager,50
accounts manager sales,2
accounts officer,19
accounts payable,118
accounts payable helpdesk,1
accounts payable service desk,1
accounts payables,1
accounts receivable,111
accounts receivable caller,2
accounts reconciliation,3
accounts tally,1
accuracy,1
ach,1147
achieving targets,1
aci,145
acl,911
acls,4
acme,4
acoustic,1
acquiring,8
acquiring( franchisee,1
acquisition,580
acquisition manager,3
acquisitions,1
acrobat,14
across browsers,1
acs,6
actimize,1
acting,14
action,591
action budgeting,1
action budgets,1
action financial analysis,1
action fp&a,1
action plan,29
action script,12
action scripting,3
action variance analysis,1
activation,24
activation officer,1
activations,1
active directory,139
active directory administration,1
active directory services,3
active mq,1
active pharmaceutical ingredient,2
active server pages,1
activemq,7
activex,7
activiti,432
activities,431
actor,87
actuarial,17
actuarial analyst,2
actuarial assistant manager,1
actuarial manager,1
actuarial team leader,1
actuarial team manager,1
actuary,4
actuate,1
ad,4632
ad agency,3
ad authentication,1
ad films,2
ad hoc reports,1
ad operations,13
ad sales,35
ad space selling,4
ad trafficking,1
ada,148
adam,5
adapters,2
adaptive,1
adas,8
adc,13
added,4
additives,2
adf,17
adfs,6
adhesive,6
adhesives,5
adl,31
adm,896
admin,868
admin assistance,1
admin assistant,5
admin executive,41
admin manager,7
admin studio,2
admin work,1
administration,748
administration assistant,2
administration executive,13
administration management,22
administration manager,4
administration work,15
administrative,20
administrative assistance,4
administrative assistant,2
administrative executive,1
administrative skills,2
administrative support,7
administrator,125
administrator department,1
administrator support,2
administrator work,3
admission,21
admission counseling,2
admission counselling,4
admission counsellor,3
admissions,12
admissis,2
admixture,3
ado,391
ado net,3
ado.net,51
adobe,207
adobe acrobat,9
adobe after effects,12
adobe air,1
adobe analytics,5
adobe audition,3
adobe captivate,3
adobe cms,1
adobe cq,4
adobe cq5,1
adobe creative suite,25
adobe cs5,1
adobe dreamweaver,2
adobe experience manager,12
adobe flash,4
adobe flex,1
adobe forms,13
adobe framemaker,1
adobe illustrator,16
adobe image ready,1
adobe indesign,1
adobe interactive forms,2
adobe photoshop,14
adobe premiere,14
adobe premiere pro,7
adouser interface,1
ads,24
adsense,1
adsl,1
advance java,4
advance license,3
advance sas,1
advance tax,2
advanced analytics,23
advanced customer insight,1
advanced excel,69
advanced java,23
advanced javascript,1
advantage gen,1
advertisement,10
advertisement planning,1
advertisement sales,7
advertisement selling,2
advertising,220
advertising agency,12
advertising agencydigital advertising,1
advertising executive,1
advertising management,3
advisor,388
advisor recruitment,5
advisors,21
advisory,74
advisory services,8
advocacy,1
advocate,6
adwords,98
aegis,21
aem,19
aem automation testing,1
aem developer,1
aem manual testing,1
aem performance testing,1
aem performancetest,1
aem programmer,1
aem software developer,1
aem testing,1
aerobic trainer,1
aerodynamics,1
aeronautical,5
aeronautical engineering,2
aerospace,36
aerospace engineering,2
aerospike,2
aes,7
affiliate marketing,8
affordable housing,5
africa,7
after effect,17
after effects,16
after market,1
after sales,33
after sales engineering,1
after sales service,22
after sales support,9
aftereffects,1
aftersales,1
age,8530
agencies,3
agency,148
agency channel,27
agency development,18
agency development manager,5
agency management,7
agency manager,28
agency partners,1
agency sales,44
agent,161
agent recruitment,22
aggressive,3
agile,792
agile coach,1
agile development,75
agile devops,1
agile master,1
agile methodologies,2
agile methodology,89
agile process,13
agile project management,8
agile scrum,8
agile testing,5
agitators,1
agm,3
agreements,5
agri,12
agri banking,1
agri finance,1
agri loan,1
agribusiness,3
agriculture,5
agriculture banking,1
agro,13
agro commodities,1
agrochemical,9
agrochemicals,6
agronomist,1
agronomy,3
ags,2
ahb,4
ahp,1
aht,1
ahu,2
ai,3516
ai / ml,1
ai programmer,1
aids,1
aif,3
air,189
air cargo,1
air compressor,4
air conditioner,1
air conditioning,16
air freight,10
air hostess,12
air hostess activities,4
air pollution,2
air pollution control,1
air reservation,1
air ticketing,10
aircraft interface,1
aircraft maintenance,3
airforce,2
airline,45
airline process,2
airlines,39
airlines process,1
airport,14
airport ground handling,1
airport manager,1
airport operation,3
airport representative,1
airport security,1
airtel,4
airwatch,3
airways,11
ais,101
aisc,4
aix,38
aix admin,10
aix administration,8
aix administrator,3
ajax,612
akamai,1
akka,4
al,15788
alarm monitoring,1
alcatel,1
aldon,1
ale,5312
alerts,1
alfresco,2
algo,241
algorithm,241
algorithm development,6
algorithmic trading,2
algorithms,185
allegro,4
allen bradley,4
alliance management,2
alliances,27
allsec,1
alm,18
alm risk,1
alternate channel,11
alternate sourcing,4
alteryx,5
altiris,2
altium,3
aluminium,4
aluminium die casting,1
alv,22
alv reports,2
am,2829
am operations,3
amadeus,47
amazon,31
amazon ec2,10
amazon hibernate,1
amazon redshift,1
amazon servlets,1
amazon spring,1
amazon struts,1
amazon web services,1
ambulance coder,1
amc,23
amcs,1
amdocs,11
amdocs billing,1
ame,543
america,18
america operations,1
america shift,1
american express,14
amex,24
amfi,3
amity,3
aml,30
amplifiers,1
ams,48
amts,1
amway,1
an,15041
anaesthesia,1
anaesthesiologist,4
anaesthesiology,2
analog,41
analog circuit design,1
analog design,5
analog layout,8
analysis,1310
analysis services,11
analysis studio,1
analyst,480
analyst 2,1
analyst ii,2
analyst relations,1
analysts,68
analytical,1005
analytical ability,8
analytical chemistry,3
analytical instruments,8
analytical method development,3
analytical method validation,3
analytical qa,2
analytical quality assurance,1
analytical research,6
analytical research & development,1
analytical skills,268
analytical techniques,2
analyticalsoftware engineer freshers,1
analytics,817
analytics reporting,4
analyze,7
analyzing,3
anaplan,1
anatomy,6
anchor,1
anchoring,1
and,1770
and financial,1
and industry events fixing meetings preparing presentation meeting with clients after getting proper approval fro,1
and marketing,35
and mvc,1
and quality,1
and svn,1
anda,141
andheri,1
android,485
android application,25
android application development,14
android developer,3
android development,43
android framework,8
android framework developer,1
android framework development,1
android sdk,83
android software developer,1
android studio,32
android testing,2
anesthesia,24
anesthesia coder,1
anesthesia coding,1
anesthesiology,3
anesthetist,2
angel broking,1
angula6,1
angular,395
angular 2.0,1
angular dotnet,1
angular js,7
angular js developer,1
angular.js,1
angular2,2
angular2+,1
angular4,1
angular5,1
angularjs,375
animal handling,1
animal health,4
animal nutrition,2
animation,109
animations,2
animator,16
annotation,1
annual reports,4
anova,3
ansa,87
ansi,135
ansi x12,3
ansible,64
ansible oracle,1
ansys,20
ansys fluent,1
ansys work bench,1
ansys workbench,1
ant,1052
ant script,1
anti money laundering,13
anti virus,1
antibiotics,1
antispam,1
antivirus,205
antivirus management,3
anvisa,2
any graduate,1
ao engagement,1
aol,2
aop,6
ap,4033
ap helpdesk,1
apac,245
apache,183
apache camel,4
apache cordova,3
apache developer,1
apache server,11
apache spark,3
apache tomcat,24
apache web server,3
apartments,2
apc,4
apex,67
apex triggers,1
api,434
api development,1
api management,1
api manufacturing,2
api production,1
api testing,25
apigee,1
apis,14
apm,4
apo,13
apollo,4
app - v,2
apparel,13
apparel industry,2
apparel merchandiser,1
apparel merchandising,2
apparels,3
appcelerator,2
appdynamic,6
appdynamics,5
appeals,3
appian,3
appium,31
apple,11
apple configurator,1
apple dep,1
applets,1
appliances,23
application,1468
application architect,41
application architecture,37
application deployment,8
application design,44
application designer,1
application designing,22
application developer,17
application developer:,1
application development,448
application development framework,1
application engine,27
application engineer,22
application engineering,17
application integration,28
application lead,4
application lifecycle management,5
application maintenance,2
application management,14
application monitoring,6
application packages,1
application packaging,14
application performance management,2
application programmer,1
application programming,48
application sales,1
application security,40
application security testing,3
application server,17
application servers,2
application software,71
application software support,3
application support,121
application support engineer,1
application testing,26
applications,391
applications design,1
applications development,2
applications security,3
applications support,6
appoint,19
appplication security,1
appraisal,38
appraisals,1
approvals,2
apps dba,12
appscan,4
apqp,3
apr,28
aptech,1
apttus,1
aqa,2
aquaculture,2
ar,10097
ar analyst,2
ar associate,3
ar billing,1
ar caller,15
ar callers,2
ar calling,27
ar executive,2
ar system,2
ar&d,1
arabic,1
arbitrage,2
arbitration,4
arbor,1
arc welding,1
arcgis,9
arcgis desktop,1
archi,865
archicad,1
architect,827
architecting,20
architects,36
architectural,70
architectural design,68
architecture,563
architecture design,2
architectures,4
archiving,16
arcsight,2
area,209
area business development executive,1
area business manager,10
area growth manager,1
area head,6
area management,10
area manager,21
area manager sales & marketing,1
area sales,164
area sales executive,9
area sales management,52
area sales manager,56
area sales officer,3
area supervisor,1
area training manager,1
argus,1
ariba,14
ariba contracts,1
ariba sourcing,1
arima,3
arizona,5
arm,448
arm 7,1
arm processor,3
arm7,1
army,3
army retired,1
aroma,1
aromatic oil,1
arp,17
arrivals,7
art,737
art & craft teacher,1
art direction,1
art director,12
art teacher,1
art work,4
article,69
article clerk,1
article submission,7
article submissions,2
article writing,19
articles,45
articleship,5
articulate storyline,4
artifactory,2
artifical intelligence,1
artificial intelligence,66
artist,14
arts,62
artwork,5
